service_id,service_name,source_service,target_service,request_latency,request_volume,cpu_usage,memory_usage,error_rate,service_criticality,environment,timestamp
svc_012,Config Service,Order Service,Config Service,279.04,7082,54.71,457.0,0.008,high,production,2026-02-27T01:05:27.530280
svc_013,Cache Service,Search Service,Cache Service,61.12,6437,35.39,1172.0,0.0254,high,production,2026-02-27T01:06:27.530280
svc_015,Report Service,Analytics Service,Report Service,164.81,3752,29.84,1057.0,0.0495,low,production,2026-02-27T01:11:27.530280
svc_006,Notification Service,Payment Service,Notification Service,478.38,8377,83.53,1532.0,0.0394,medium,production,2026-02-27T01:15:27.530280
svc_006,Notification Service,Payment Service,Notification Service,224.15,8498,63.12,647.0,0.0342,medium,production,2026-02-27T01:18:27.530280
svc_005,Payment Service,Order Service,Payment Service,305.26,4402,18.12,200.0,0.0149,critical,production,2026-02-27T01:37:27.530280
svc_017,Recommendation Service,Search Service,Recommendation Service,527.38,5603,44.05,869.0,0.0244,medium,production,2026-02-27T01:42:27.530280
svc_013,Cache Service,Catalog Service,Cache Service,350.86,4624,39.65,1647.0,0.005,high,production,2026-02-27T01:56:27.530280
svc_010,Analytics Service,User Service,Analytics Service,38.17,4685,36.74,1285.0,0.0445,low,production,2026-02-27T02:00:27.530280
svc_002,Auth Service,API Gateway,Auth Service,182.37,2683,10.84,1522.0,0.0139,critical,production,2026-02-27T02:03:27.530280
svc_011,Logging Service,API Gateway,Logging Service,348.57,3483,66.51,1184.0,0.0123,medium,production,2026-02-27T02:06:27.530280
svc_013,Cache Service,Search Service,Cache Service,260.8,4646,35.88,138.0,0.043,high,production,2026-02-27T02:20:27.530280
svc_006,Notification Service,Payment Service,Notification Service,320.32,2558,82.62,1256.0,0.0483,medium,production,2026-02-27T02:22:27.530280
svc_008,Catalog Service,Inventory Service,Catalog Service,499.07,8148,28.73,579.0,0.0067,high,production,2026-02-27T02:32:27.530280
svc_017,Recommendation Service,Search Service,Recommendation Service,375.52,4495,12.16,1283.0,0.0027,medium,production,2026-02-27T02:45:27.530280
svc_003,User Service,API Gateway,User Service,448.72,1672,83.36,598.0,0.0101,high,production,2026-02-27T02:46:27.530280
svc_005,Payment Service,Order Service,Payment Service,159.93,1086,10.14,1287.0,0.0239,critical,production,2026-02-27T02:54:27.530280
svc_006,Notification Service,Payment Service,Notification Service,116.04,3883,72.9,498.0,0.0181,medium,production,2026-02-27T02:58:27.530280
svc_007,Inventory Service,Order Service,Inventory Service,56.57,3792,57.12,1584.0,0.0137,high,production,2026-02-27T02:59:27.530280
svc_016,Billing Service,Payment Service,Billing Service,401.35,5887,57.51,1782.0,0.0484,high,production,2026-02-27T02:59:27.530280
svc_017,Recommendation Service,Search Service,Recommendation Service,436.8,5846,36.52,986.0,0.039,medium,production,2026-02-27T03:02:27.530280
svc_011,Logging Service,API Gateway,Logging Service,260.5,2598,45.71,212.0,0.0315,medium,production,2026-02-27T03:04:27.530280
svc_009,Search Service,API Gateway,Search Service,158.68,8529,74.72,1411.0,0.0169,medium,production,2026-02-27T03:10:27.530280
svc_013,Cache Service,Catalog Service,Cache Service,117.36,4720,46.63,2033.0,0.0221,high,production,2026-02-27T03:27:27.530280
svc_005,Payment Service,Order Service,Payment Service,377.56,7778,11.74,1191.0,0.0051,critical,production,2026-02-27T03:31:27.530280
svc_009,Search Service,Catalog Service,Search Service,204.75,839,18.04,1375.0,0.0436,medium,production,2026-02-27T03:53:27.530280
